"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1701,50.5,50.5,49.5,"Baar (ZG)","NA NA"
1702,31.6,31.6,68.4,"Cham (ZG)","NA NA"
1703,10.2,10.2,89.8,"Hünenberg (ZG)","NA NA"
1704,52.9,52.9,47.1,"Menzingen (ZG)","NA NA"
1705,57.8,57.8,42.2,"Neuheim (ZG)","NA NA"
1706,38,38,62,"Oberägeri (ZG)","NA NA"
1707,31.8,31.8,68.2,"Risch (ZG)","NA NA"
1708,24.5,24.5,75.5,"Steinhausen (ZG)","NA NA"
1709,57.3,57.3,42.7,"Unterägeri (ZG)","NA NA"
1710,65.1,65.1,34.9,"Walchwil (ZG)","NA NA"
1711,60.7,60.7,39.3,"Zoug (ZG)","NA NA"
