"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
5401,65,65,35,"Aigle (VD)","A Aigle, les habitants sont favorables à l'initiative ""d'allègement des primes"" du PS avec 65 pour cent des suffrages. Aigle a approuvé l'initiative, tout comme son canton."
5402,33.8,33.8,66.2,"Bex (VD)","Les habitants de Bex rejettent l'initiative ""d'allègement des primes"" du PS avec 66,2 pour cent de non. Bex a rejeté l'initiative, contrairement à son canton."
5403,53.9,53.9,46.1,"Chessel (VD)","Les habitants de Chessel approuvent l'initiative ""d'allègement des primes"" du PS avec 53,9 pour cent des voix. Chessel a approuvé l'initiative, tout comme son canton."
5404,67.1,67.1,32.9,"Corbeyrier (VD)","Les électeurs de Corbeyrier valident l'initiative ""d'allègement des primes"" du PS avec 67,1 pour cent des voix. Corbeyrier a approuvé l'initiative, tout comme son canton."
5405,27.8,27.8,72.2,"Gryon (VD)","L'initiative ""d'allègement des primes"" du PS ne passe pas la rampe à Gryon avec 72,2 pour cent de non. Gryon a rejeté l'initiative, contrairement à son canton."
5406,41,41,59,"Lavey-Morcles (VD)","A Lavey-Morcles, les habitants disent non à 59 pour cent à l'initiative ""d'allègement des primes"" du PS. Lavey-Morcles a rejeté l'initiative, contrairement à son canton."
5407,39.9,39.9,60.1,"Leysin (VD)","L'initiative ""d'allègement des primes"" du PS échoue à Leysin avec 60,1 pour cent des suffrages. Leysin a rejeté l'initiative, contrairement à son canton."
5408,38.1,38.1,61.9,"Noville (VD)","L'initiative ""d'allègement des primes"" du PS ne passe pas la rampe à Noville avec 61,9 pour cent de non. Noville a rejeté l'initiative, contrairement à son canton."
5409,60.7,60.7,39.3,"Ollon (VD)","Les électeurs d'Ollon valident l'initiative ""d'allègement des primes"" du PS avec 60,7 pour cent des voix. Ollon a approuvé l'initiative, tout comme son canton."
5410,69.2,69.2,30.8,"Ormont-Dessous (VD)","Les habitants d'Ormont-Dessous acceptent l'initiative ""d'allègement des primes"" du PS avec 69,2 pour cent de oui. Ormont-Dessous a approuvé l'initiative, tout comme son canton."
5411,64.7,64.7,35.3,"Ormont-Dessus (VD)","Les électeurs d'Ormont-Dessus valident l'initiative ""d'allègement des primes"" du PS avec 64,7 pour cent des voix. Ormont-Dessus a approuvé l'initiative, tout comme son canton."
5412,8,8,92,"Rennaz (VD)","L'initiative ""d'allègement des primes"" du PS ne passe pas la rampe à Rennaz avec 92 pour cent de non. Rennaz a rejeté l'initiative, contrairement à son canton."
5413,76.9,76.9,23.1,"Roche (VD)","A Roche (VD), les habitants disent oui à 76,9 pour cent à l'initiative ""d'allègement des primes"" du PS. Roche (VD) a approuvé l'initiative, tout comme son canton."
5414,71.4,71.4,28.6,"Villeneuve (VD)","A Villeneuve (VD), les habitants disent oui à 71,4 pour cent à l'initiative ""d'allègement des primes"" du PS. Villeneuve (VD) a approuvé l'initiative, tout comme son canton."
5415,40.6,40.6,59.4,"Yvorne (VD)","L'initiative ""d'allègement des primes"" du PS ne passe pas la rampe à Yvorne avec 59,4 pour cent de non. Yvorne a rejeté l'initiative, contrairement à son canton."
5422,93.1,93.1,6.9,"Aubonne (VD)","L'initiative ""d'allègement des primes"" du PS passe la rampe à Aubonne avec 93,1 pour cent de oui. Aubonne a approuvé l'initiative, tout comme son canton."
5423,38.7,38.7,61.3,"Ballens (VD)","A Ballens, les habitants disent non à 61,3 pour cent à l'initiative ""d'allègement des primes"" du PS. Ballens a rejeté l'initiative, contrairement à son canton."
5424,59.9,59.9,40.1,"Berolle (VD)","Les habitants de Berolle acceptent l'initiative ""d'allègement des primes"" du PS avec 59,9 pour cent de oui. Berolle a approuvé l'initiative, tout comme son canton."
5425,50.2,50.2,49.8,"Bière (VD)","Les habitants de Bière approuvent l'initiative ""d'allègement des primes"" du PS avec 50,2 pour cent des voix. Bière a approuvé l'initiative, tout comme son canton."
5426,83,83,17,"Bougy-Villars (VD)","C'est oui à 83 pour cent à l'initiative ""d'allègement des primes"" du PS à Bougy-Villars. Bougy-Villars a approuvé l'initiative, tout comme son canton."
5427,75.9,75.9,24.1,"Féchy (VD)","A Féchy, les habitants disent oui à 75,9 pour cent à l'initiative ""d'allègement des primes"" du PS. Féchy a approuvé l'initiative, tout comme son canton."
5428,74.6,74.6,25.4,"Gimel (VD)","A Gimel, les habitants sont favorables à l'initiative ""d'allègement des primes"" du PS avec 74,6 pour cent des suffrages. Gimel a approuvé l'initiative, tout comme son canton."
5429,76.7,76.7,23.3,"Longirod (VD)","Les habitants de Longirod acceptent l'initiative ""d'allègement des primes"" du PS avec 76,7 pour cent de oui. Longirod a approuvé l'initiative, tout comme son canton."
5430,56.6,56.6,43.4,"Marchissy (VD)","A Marchissy, les habitants disent oui à 56,6 pour cent à l'initiative ""d'allègement des primes"" du PS. Marchissy a approuvé l'initiative, tout comme son canton."
5431,59.7,59.7,40.3,"Mollens (VD)","Les électeurs de Mollens (VD) valident l'initiative ""d'allègement des primes"" du PS avec 59,7 pour cent des voix. Mollens (VD) a approuvé l'initiative, tout comme son canton."
5434,48.8,48.8,51.2,"Saint-George (VD)","L'initiative ""d'allègement des primes"" du PS échoue à Saint-George avec 51,2 pour cent des suffrages. Saint-George a rejeté l'initiative, contrairement à son canton."
5435,42,42,58,"Saint-Livres (VD)","A Saint-Livres, les habitants sont défavorables à l'initiative ""d'allègement des primes"" du PS avec 58 pour cent des voix. Saint-Livres a rejeté l'initiative, contrairement à son canton."
5436,34.1,34.1,65.9,"Saint-Oyens (VD)","Les habitants de Saint-Oyens s'opposent à l'initiative ""d'allègement des primes"" du PS avec 65,9 pour cent de non. Saint-Oyens a rejeté l'initiative, contrairement à son canton."
5437,34.9,34.9,65.1,"Saubraz (VD)","A Saubraz, les habitants disent non à 65,1 pour cent à l'initiative ""d'allègement des primes"" du PS. Saubraz a rejeté l'initiative, contrairement à son canton."
5451,94.3,94.3,5.7,"Avenches (VD)","Les électeurs d'Avenches valident l'initiative ""d'allègement des primes"" du PS avec 94,3 pour cent des voix. Avenches a approuvé l'initiative, tout comme son canton."
5456,40.7,40.7,59.3,"Cudrefin (VD)","A Cudrefin, les habitants disent non à 59,3 pour cent à l'initiative ""d'allègement des primes"" du PS. Cudrefin a rejeté l'initiative, contrairement à son canton."
5458,47.8,47.8,52.2,"Faoug (VD)","L'initiative ""d'allègement des primes"" du PS ne passe pas la rampe à Faoug avec 52,2 pour cent de non. Faoug a rejeté l'initiative, contrairement à son canton."
5464,26.8,26.8,73.2,"Vully-les-Lacs (VD)","A Vully-les-Lacs, les habitants disent non à 73,2 pour cent à l'initiative ""d'allègement des primes"" du PS. Vully-les-Lacs a rejeté l'initiative, contrairement à son canton."
5471,81.2,81.2,18.8,"Bettens (VD)","Les électeurs de Bettens valident l'initiative ""d'allègement des primes"" du PS avec 81,2 pour cent des voix. Bettens a approuvé l'initiative, tout comme son canton."
5472,9.3,9.3,90.7,"Bournens (VD)","Les habitants de Bournens s'opposent à l'initiative ""d'allègement des primes"" du PS avec 90,7 pour cent de non. Bournens a rejeté l'initiative, contrairement à son canton."
5473,76,76,24,"Boussens (VD)","Les habitants de Boussens acceptent l'initiative ""d'allègement des primes"" du PS avec 76 pour cent de oui. Boussens a approuvé l'initiative, tout comme son canton."
5474,71.1,71.1,28.9,"La Chaux (Cossonay) (VD)","A La Chaux (Cossonay), les habitants sont favorables à l'initiative ""d'allègement des primes"" du PS avec 71,1 pour cent des suffrages. La Chaux (Cossonay) a approuvé l'initiative, tout comme son canton."
5475,76,76,24,"Chavannes-le-Veyron (VD)","Les habitants de Chavannes-le-Veyron acceptent l'initiative ""d'allègement des primes"" du PS avec 76 pour cent de oui. Chavannes-le-Veyron a approuvé l'initiative, tout comme son canton."
