"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6601,64.6,64.6,35.4,"Aire-la-Ville GE","NA NA"
6602,49.6,49.6,50.4,"Anières GE","NA NA"
6603,98.3,98.3,1.7,"Avully GE","NA NA"
6604,54.1,54.1,45.9,"Avusy GE","NA NA"
6605,41.3,41.3,58.7,"Bardonnex GE","NA NA"
6606,28,28,72,"Bellevue GE","NA NA"
6607,66.6,66.6,33.4,"Bernex GE","NA NA"
6608,58.1,58.1,41.9,"Carouge GE","NA NA"
6609,54,54,46,"Cartigny GE","NA NA"
6610,47.1,47.1,52.9,"Céligny GE","NA NA"
6611,51.2,51.2,48.8,"Chancy GE","NA NA"
6612,89.4,89.4,10.6,"Chêne-Bougeries GE","NA NA"
6613,63.5,63.5,36.5,"Chêne-Bourg GE","NA NA"
6614,86.4,86.4,13.6,"Choulex GE","NA NA"
6615,60.7,60.7,39.3,"Collex-Bossy GE","NA NA"
6616,21.8,21.8,78.2,"Collonge-Bellerive GE","NA NA"
6617,62.9,62.9,37.1,"Cologny GE","NA NA"
6618,22.8,22.8,77.2,"Confignon GE","NA NA"
6619,43.1,43.1,56.9,"Corsier GE","NA NA"
6620,99.6,99.6,0.4,"Dardagny GE","NA NA"
6621,45.6,45.6,54.4,"Genf GE","NA NA"
6622,23.6,23.6,76.4,"Genthod GE","NA NA"
6623,48,48,52,"Le Grand-Saconnex GE","NA NA"
6624,43.2,43.2,56.8,"Gy GE","NA NA"
6625,69.7,69.7,30.3,"Hermance GE","NA NA"
6626,39,39,61,"Jussy GE","NA NA"
6627,40.3,40.3,59.7,"Laconnex GE","NA NA"
6628,41.1,41.1,58.9,"Lancy GE","NA NA"
6629,39.3,39.3,60.7,"Meinier GE","NA NA"
6630,50.1,50.1,49.9,"Meyrin GE","NA NA"
6631,15.1,15.1,84.9,"Onex GE","NA NA"
6632,58.3,58.3,41.7,"Perly-Certoux GE","NA NA"
6633,63.1,63.1,36.9,"Plan-les-Ouates GE","NA NA"
6634,56.1,56.1,43.9,"Pregny-Chambésy GE","NA NA"
6635,26,26,74,"Presinge GE","NA NA"
6636,55.1,55.1,44.9,"Puplinge GE","NA NA"
6637,30.5,30.5,69.5,"Russin GE","NA NA"
6638,74,74,26,"Satigny GE","NA NA"
6639,51.1,51.1,48.9,"Soral GE","NA NA"
6640,72.8,72.8,27.2,"Thônex GE","NA NA"
6641,14.2,14.2,85.8,"Troinex GE","NA NA"
6642,99.9,99.9,0.1,"Vandoeuvres GE","NA NA"
6643,62,62,38,"Vernier GE","NA NA"
6644,48.7,48.7,51.3,"Versoix GE","NA NA"
6645,51.4,51.4,48.6,"Veyrier GE","NA NA"
