"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6601,70.2,70.2,29.8,"Aire-la-Ville GE","NA NA"
6602,14,14,86,"Anières GE","NA NA"
6603,84.9,84.9,15.1,"Avully GE","NA NA"
6604,74.1,74.1,25.9,"Avusy GE","NA NA"
6605,6.4,6.4,93.6,"Bardonnex GE","NA NA"
6606,6.8,6.8,93.2,"Bellevue GE","NA NA"
6607,30,30,70,"Bernex GE","NA NA"
6608,61.3,61.3,38.7,"Carouge GE","NA NA"
6609,72,72,28,"Cartigny GE","NA NA"
6610,78.6,78.6,21.4,"Céligny GE","NA NA"
6611,65,65,35,"Chancy GE","NA NA"
6612,45.9,45.9,54.1,"Chêne-Bougeries GE","NA NA"
6613,73.8,73.8,26.2,"Chêne-Bourg GE","NA NA"
6614,48.1,48.1,51.9,"Choulex GE","NA NA"
6615,6.9,6.9,93.1,"Collex-Bossy GE","NA NA"
6616,13.6,13.6,86.4,"Collonge-Bellerive GE","NA NA"
6617,55,55,45,"Cologny GE","NA NA"
6618,49.2,49.2,50.8,"Confignon GE","NA NA"
6619,54.7,54.7,45.3,"Corsier GE","NA NA"
6620,12.2,12.2,87.8,"Dardagny GE","NA NA"
6621,77,77,23,"Genf GE","NA NA"
6622,68,68,32,"Genthod GE","NA NA"
6623,51,51,49,"Le Grand-Saconnex GE","NA NA"
6624,28.9,28.9,71.1,"Gy GE","NA NA"
6625,46.1,46.1,53.9,"Hermance GE","NA NA"
6626,10.9,10.9,89.1,"Jussy GE","NA NA"
6627,46.8,46.8,53.2,"Laconnex GE","NA NA"
6628,68.4,68.4,31.6,"Lancy GE","NA NA"
6629,48.4,48.4,51.6,"Meinier GE","NA NA"
6630,52.4,52.4,47.6,"Meyrin GE","NA NA"
6631,39.5,39.5,60.5,"Onex GE","NA NA"
6632,87.2,87.2,12.8,"Perly-Certoux GE","NA NA"
6633,54.4,54.4,45.6,"Plan-les-Ouates GE","NA NA"
6634,56.8,56.8,43.2,"Pregny-Chambésy GE","NA NA"
6635,46.7,46.7,53.3,"Presinge GE","NA NA"
6636,23.3,23.3,76.7,"Puplinge GE","NA NA"
6637,43.1,43.1,56.9,"Russin GE","NA NA"
6638,80.3,80.3,19.7,"Satigny GE","NA NA"
6639,30.6,30.6,69.4,"Soral GE","NA NA"
6640,7.2,7.2,92.8,"Thônex GE","NA NA"
6641,44.3,44.3,55.7,"Troinex GE","NA NA"
6642,61.7,61.7,38.3,"Vandoeuvres GE","NA NA"
6643,2.6,2.6,97.4,"Vernier GE","NA NA"
6644,60.7,60.7,39.3,"Versoix GE","NA NA"
6645,61.1,61.1,38.9,"Veyrier GE","NA NA"
