"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6601,45.8,45.8,54.2,"Aire-la-Ville GE","NA NA"
6602,64.8,64.8,35.2,"Anières GE","NA NA"
6603,87.9,87.9,12.1,"Avully GE","NA NA"
6604,40.8,40.8,59.2,"Avusy GE","NA NA"
6605,66.2,66.2,33.8,"Bardonnex GE","NA NA"
6606,54.1,54.1,45.9,"Bellevue GE","NA NA"
6607,96.6,96.6,3.4,"Bernex GE","NA NA"
6608,53,53,47,"Carouge GE","NA NA"
6609,64,64,36,"Cartigny GE","NA NA"
6610,21.4,21.4,78.6,"Céligny GE","NA NA"
6611,58.2,58.2,41.8,"Chancy GE","NA NA"
6612,71.6,71.6,28.4,"Chêne-Bougeries GE","NA NA"
6613,83,83,17,"Chêne-Bourg GE","NA NA"
6614,42.5,42.5,57.5,"Choulex GE","NA NA"
6615,32.4,32.4,67.6,"Collex-Bossy GE","NA NA"
6616,67.4,67.4,32.6,"Collonge-Bellerive GE","NA NA"
6617,26.9,26.9,73.1,"Cologny GE","NA NA"
6618,12.5,12.5,87.5,"Confignon GE","NA NA"
6619,33.5,33.5,66.5,"Corsier GE","NA NA"
6620,45.7,45.7,54.3,"Dardagny GE","NA NA"
6621,39,39,61,"Ginevra GE","NA NA"
6622,30.4,30.4,69.6,"Genthod GE","NA NA"
6623,98.4,98.4,1.6,"Le Grand-Saconnex GE","NA NA"
6624,27.1,27.1,72.9,"Gy GE","NA NA"
6625,83.8,83.8,16.2,"Hermance GE","NA NA"
6626,12.7,12.7,87.3,"Jussy GE","NA NA"
6627,72.5,72.5,27.5,"Laconnex GE","NA NA"
6628,53.9,53.9,46.1,"Lancy GE","NA NA"
6629,79.9,79.9,20.1,"Meinier GE","NA NA"
6630,38.9,38.9,61.1,"Meyrin GE","NA NA"
6631,64.5,64.5,35.5,"Onex GE","NA NA"
6632,41.9,41.9,58.1,"Perly-Certoux GE","NA NA"
6633,56,56,44,"Plan-les-Ouates GE","NA NA"
6634,66.6,66.6,33.4,"Pregny-Chambésy GE","NA NA"
6635,22.1,22.1,77.9,"Presinge GE","NA NA"
6636,9.4,9.4,90.6,"Puplinge GE","NA NA"
6637,61.1,61.1,38.9,"Russin GE","NA NA"
6638,86.3,86.3,13.7,"Satigny GE","NA NA"
6639,58.7,58.7,41.3,"Soral GE","NA NA"
6640,69.3,69.3,30.7,"Thônex GE","NA NA"
6641,94.7,94.7,5.3,"Troinex GE","NA NA"
6642,78.9,78.9,21.1,"Vandoeuvres GE","NA NA"
6643,30.2,30.2,69.8,"Vernier GE","NA NA"
6644,36.2,36.2,63.8,"Versoix GE","NA NA"
6645,30.9,30.9,69.1,"Veyrier GE","NA NA"
