"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
2008,44,44,56,"Châtillon FR",
2011,88.3,88.3,11.7,"Cugy FR",
2016,42.4,42.4,57.6,"Fétigny FR",
2022,54,54,46,"Gletterens FR",
2025,51.7,51.7,48.3,"Lully FR",
2027,8.3,8.3,91.7,"Ménières FR",
2029,8.9,8.9,91.1,"Montagny FR",
2035,91.3,91.3,8.7,"Nuvilly FR",
2038,4,4,96,"Prévondavaux FR",
2041,55.1,55.1,44.9,"Saint-Aubin FR",
2043,31.7,31.7,68.3,"Sévaz FR",
2044,6.3,6.3,93.7,"Surpierre FR",
2045,39.3,39.3,60.7,"Vallon FR",
2050,71.7,71.7,28.3,"Les Montets FR",
2051,60,60,40,"Delley-Portalban FR",
2053,11.2,11.2,88.8,"Belmont-Broye FR",
2054,30.7,30.7,69.3,"Estavayer FR",
2055,40.8,40.8,59.2,"Cheyres-Châbles FR",
2061,43.8,43.8,56.2,"Auboranges FR",
2063,21,21,79,"Billens-Hennens FR",
2066,4.3,4.3,95.7,"Chapelle (Glâne) FR",
2067,58.7,58.7,41.3,"Le Châtelard FR",
2068,45.3,45.3,54.7,"Châtonnaye FR",
2072,25.6,25.6,74.4,"Ecublens FR",
2079,18.5,18.5,81.5,"Grangettes FR",
2086,23.4,23.4,76.6,"Massonnens FR",
2087,13.6,13.6,86.4,"Mézières FR",
2089,57.4,57.4,42.6,"Montet (Glâne) FR",
2096,43.4,43.4,56.6,"Romont FR",
2097,66.9,66.9,33.1,"Rue FR",
2099,1.7,1.7,98.3,"Siviriez FR",
2102,2.1,2.1,97.9,"Ursy FR",
2113,46.3,46.3,53.7,"Vuisternens-devant-Romont FR",
2114,95.3,95.3,4.7,"Villorsonnens FR",
2115,63.1,63.1,36.9,"Torny FR",
2117,15,15,85,"Villaz FR",
2121,26.7,26.7,73.3,"Haut-Intyamon FR",
2122,48.4,48.4,51.6,"Pont-en-Ogoz FR",
2123,53.2,53.2,46.8,"Botterens FR",
2124,10.7,10.7,89.3,"Broc FR",
2125,97.3,97.3,2.7,"Bulle FR",
2128,45.2,45.2,54.8,"Châtel-sur-Montsalvens FR",
2129,83.4,83.4,16.6,"Corbières FR",
2130,77.2,77.2,22.8,"Crésuz FR",
2131,6.5,6.5,93.5,"Echarlens FR",
2134,42.2,42.2,57.8,"Grandvillard FR",
2135,63,63,37,"Greyerz FR",
2137,39.9,39.9,60.1,"Hauteville FR",
2138,63.9,63.9,36.1,"Jaun FR",
2140,82.6,82.6,17.4,"Marsens FR",
2143,52.6,52.6,47.4,"Morlon FR",
2145,67.4,67.4,32.6,"Le Pâquier FR",
2147,93.1,93.1,6.9,"Pont-la-Ville FR",
2148,79.1,79.1,20.9,"Riaz FR",
2149,26.2,26.2,73.8,"La Roche FR",
2152,0.7,0.7,99.3,"Sâles FR",
2153,75.4,75.4,24.6,"Sorens FR",
2155,60.8,60.8,39.2,"Vaulruz FR",
2160,67.9,67.9,32.1,"Vuadens FR",
2162,82.2,82.2,17.8,"Bas-Intyamon FR",
2163,28.3,28.3,71.7,"Val-de-Charmey FR",
2173,26.2,26.2,73.8,"Autigny FR",
2174,58.9,58.9,41.1,"Avry FR",
2175,90.9,90.9,9.1,"Belfaux FR",
2177,92.5,92.5,7.5,"Chénens FR",
2183,59.8,59.8,40.2,"Corminboeuf FR",
2186,37.4,37.4,62.6,"Cottens FR",
2194,76.3,76.3,23.7,"Ferpicloz FR",
2196,59.2,59.2,40.8,"Friburgo FR",
2197,71,71,29,"Givisiez FR",
2198,50,50,50,"Granges-Paccot FR",
2200,64.7,64.7,35.3,"Grolley FR",
2206,78.2,78.2,21.8,"Marly FR",
2208,51.2,51.2,48.8,"Matran FR",
2211,47.9,47.9,52.1,"Neyruz FR",
2216,33.5,33.5,66.5,"Pierrafortscha FR",
2217,77.1,77.1,22.9,"Ponthaux FR",
2220,91.1,91.1,8.9,"Le Mouret FR",
2226,21.2,21.2,78.8,"Treyvaux FR",
2228,74.3,74.3,25.7,"Villars-sur-Glâne FR",
2230,32.4,32.4,67.6,"Villarsel-sur-Marly FR",
2233,41.4,41.4,58.6,"Hauterive FR",
2234,32,32,68,"La Brillaz FR",
2235,77.6,77.6,22.4,"La Sonnaz FR",
2236,34.8,34.8,65.2,"Gibloux FR",
2237,65.3,65.3,34.7,"Prez FR",
2238,55,55,45,"Bois-d'Amont FR",
2250,11.1,11.1,88.9,"Gurwolf FR",
2254,31.2,31.2,68.8,"Courtepin FR",
2257,46.4,46.4,53.6,"Cressier FR",
2258,52,52,48,"Fräschels FR",
2261,23.2,23.2,76.8,"Greng FR",
2262,70.4,70.4,29.6,"Gurmels FR",
2265,94.2,94.2,5.8,"Kerzers FR",
2266,94.2,94.2,5.8,"Kleinbösingen FR",
2271,54.1,54.1,45.9,"Merlach FR",
2272,51.7,51.7,48.3,"Misery-Courtion FR",
2274,70,70,30,"Muntelier FR",
2275,52.6,52.6,47.4,"Murten FR",
2276,86,86,14,"Ried bei Kerzers FR",
2278,85.4,85.4,14.6,"Ulmiz FR",
2284,37.1,37.1,62.9,"Mont-Vully FR",
2292,54.9,54.9,45.1,"Brünisried FR",
2293,41.6,41.6,58.4,"Düdingen FR",
2294,46,46,54,"Giffers FR",
2295,41.9,41.9,58.1,"Bösingen FR",
2296,2.9,2.9,97.1,"Heitenried FR",
2299,31.6,31.6,68.4,"Plaffeien FR",
2300,82.9,82.9,17.1,"Plasselb FR",
2301,92.7,92.7,7.3,"Rechthalten FR",
2303,55.3,55.3,44.7,"St. Silvester FR",
2304,20.6,20.6,79.4,"St. Ursen FR",
2305,58.5,58.5,41.5,"Schmitten FR",
2306,75.5,75.5,24.5,"Tafers FR",
2307,60.9,60.9,39.1,"Tentlingen FR",
2308,26.6,26.6,73.4,"Ueberstorf FR",
2309,90.4,90.4,9.6,"Wünnewil-Flamatt FR",
2321,38.4,38.4,61.6,"Attalens FR",
2323,79,79,21,"Bossonnens FR",
2325,27.1,27.1,72.9,"Châtel-Saint-Denis FR",
2328,64,64,36,"Granges (Veveyse) FR",
2333,80,80,20,"Remaufens FR",
2335,13.3,13.3,86.7,"Saint-Martin FR",
2336,39.5,39.5,60.5,"Semsales FR",
2337,69.2,69.2,30.8,"Le Flon FR",
2338,36.6,36.6,63.4,"La Verrerie FR",
