"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
1,"Zürich","Zurich","Zurigo",32.2,67.8,32.2,160,160,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
2,"Bern","Berne","Berna",91,9,91,330,330,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
3,"Luzern","Lucerne","Lucerna",82.5,17.5,82.5,80,80,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
4,"Uri","Uri","Uri",11.5,88.5,11.5,19,19,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
5,"Schwyz","Schwyz","Svitto",4.7,95.3,4.7,30,30,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
6,"Obwalden","Obwald","Obvaldo",62.2,37.8,62.2,7,7,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
7,"Nidwalden","Nidwald","Nidvaldo",33.2,66.8,33.2,11,11,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
8,"Glarus","Glaris","Glarona",67.2,32.8,67.2,3,3,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
9,"Zug","Zoug","Zugo",39,61,39,11,11,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
10,"Freiburg","Fribourg","Friburgo",17.9,82.1,17.9,126,126,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
11,"Solothurn","Soleure","Soletta",77.9,22.1,77.9,106,106,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
12,"Basel-Stadt","Bâle-Ville","Basilea Città",28.5,71.5,28.5,3,3,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",10.4,89.6,10.4,86,86,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
14,"Schaffhausen","Schaffhouse","Sciaffusa",47.7,52.3,47.7,26,26,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",62.1,37.9,62.1,20,20,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",87.2,12.8,87.2,5,5,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
17,"St. Gallen","Saint-Gall","San Gallo",79.5,20.5,79.5,75,75,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
18,"Graubünden","Grisons","Grigioni",40,60,40,101,101,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
19,"Aargau","Argovie","Argovia",64.3,35.7,64.3,197,197,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
20,"Thurgau","Thurgovie","Turgovia",57.8,42.2,57.8,80,80,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
21,"Tessin","Tessin","Ticino",65.8,34.2,65.8,106,106,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
22,"Waadt","Vaud","Vaud",78.6,21.4,78.6,300,300,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
23,"Wallis","Valais","Vallese",97.3,2.7,97.3,122,122,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
24,"Neuenburg","Neuchâtel","Neuchâtel",15,85,15,27,27,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
25,"Genf","Genève","Ginevra",96.9,3.1,96.9,45,45,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
26,"Jura","Jura","Giura",94.2,5.8,94.2,50,50,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
