"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1,83.7,83.7,16.3,"Aeugst am Albis ZH","I cittadini di Aeugst am Albis hanno accolto la legge sull'approvvigionamento elettrico con il 83,7 per cento di voti a favore. Aeugst am Albis ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
2,62.5,62.5,37.5,"Affoltern am Albis ZH","Il 62,5 per cento degli elettori di Affoltern am Albis ha accolto la legge sull'approvvigionamento elettrico. Affoltern am Albis ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
3,30.1,30.1,69.9,"Bonstetten ZH","Il 69,9 per cento degli elettori di Bonstetten ha respinto la legge sull'approvvigionamento elettrico. Bonstetten ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
4,51.6,51.6,48.4,"Hausen am Albis ZH","Nel comune di Hausen am Albis, i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 51,6 per cento di voti favorevoli. Hausen am Albis ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
5,99.9,99.9,0.1,"Hedingen ZH","Terzo posto nella classifica dei comuni in cui la legge sull'approvvigionamento elettrico è stata accolta maggiormente per Hedingen. L'oggetto in votazione ha ricevuto il 99,9 per cento di ""sì"". Il maggior numero di ""sì"" nel canton Zurigo è stato ottenuto a Hedingen."
6,87.8,87.8,12.2,"Kappel am Albis ZH","Il 87,8 per cento degli elettori di Kappel am Albis ha accolto la legge sull'approvvigionamento elettrico. Kappel am Albis ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
7,49.3,49.3,50.7,"Knonau ZH","Gli abitanti di Knonau hanno respinto la legge sull'approvvigionamento elettrico con il 50,7 per cento di ""no"". Knonau ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
8,50.8,50.8,49.2,"Maschwanden ZH","A Maschwanden gli abitanti hanno accolto la legge sull'approvvigionamento elettrico con il 50,8 per cento di ""sì"". Maschwanden ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
9,93,93,7,"Mettmenstetten ZH","Nel comune di Mettmenstetten, i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 93 per cento di voti favorevoli. Mettmenstetten ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
10,39,39,61,"Obfelden ZH","Nel comune di Obfelden, i cittadini hanno respinto la legge sull'approvvigionamento elettrico con il 61 per cento di voti contrari. Obfelden ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
11,36.7,36.7,63.3,"Ottenbach ZH","Gli abitanti di Ottenbach hanno respinto la legge sull'approvvigionamento elettrico con il 63,3 per cento di ""no"". Ottenbach ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
12,32.2,32.2,67.8,"Rifferswil ZH","Gli abitanti di Rifferswil hanno respinto la legge sull'approvvigionamento elettrico con il 67,8 per cento di ""no"". Rifferswil ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
13,56.6,56.6,43.4,"Stallikon ZH","Nel comune di Stallikon, i cittadini hanno accolto la legge sull'approvvigionamento elettrico con il 56,6 per cento di voti favorevoli. Stallikon ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
14,46.7,46.7,53.3,"Wettswil am Albis ZH","I cittadini di Wettswil am Albis hanno respinto la legge sull'approvvigionamento elettrico con il 53,3 per cento di voti contrari. Wettswil am Albis ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
22,98.3,98.3,1.7,"Benken ZH","La legge sull'approvvigionamento elettrico è stata accolta a Benken ZH, dove ha riscosso il 98,3 per cento di voti a favore. Benken ZH ha accolto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
23,29.5,29.5,70.5,"Berg am Irchel ZH","Il 70,5 per cento degli elettori di Berg am Irchel ha respinto la legge sull'approvvigionamento elettrico. Berg am Irchel ha respinto l'iniziativa, risultato che si è confermato anche a livello cantonale."
